Index;t;x;y
709,000000000;46,649956223;6,315074230;2,679828051
710,000000000;46,707853600;6,169564546;2,670859274
711,000000000;46,767145993;6,025055431;2,660561374
712,000000000;46,827993976;5,881453517;2,648873263
713,000000000;46,890583796;5,738649054;2,635722521
714,000000000;46,955136424;5,596506491;2,621022039
715,000000000;47,018142675;5,462719815;2,605620278
716,000000000;47,078312668;5,339438353;2,589994927
717,000000000;47,136515312;5,224274929;2,574076618
718,000000000;47,193308048;5,115698348;2,557825717
719,000000000;47,249046868;5,012708067;2,541226981
720,000000000;47,303979967;4,914594213;2,524276424
721,000000000;47,358288033;4,820829762;2,506976773
722,000000000;47,412111384;4,731002069;2,489333541
723,000000000;47,465560676;4,644781691;2,471354432
724,000000000;47,518727426;4,561896164;2,453047811
725,000000000;47,571686704;4,482119504;2,434423154
726,000000000;47,624503252;4,405258111;2,415489933
727,000000000;47,677233148;4,331145042;2,396257747
728,000000000;47,729925492;4,259634975;2,376736283
729,000000000;47,782623680;4,190600366;2,356935296
730,000000000;47,835368351;4,123926015;2,336863842
731,000000000;47,888193983;4,059512146;2,316531855
732,000000000;47,941133553;3,997267344;2,295948607
733,000000000;47,994217691;3,937108912;2,275123209
734,000000000;48,047474290;3,878962556;2,254064922
735,000000000;48,100930272;3,822759797;2,232782594
736,000000000;48,154610425;3,768438750;2,211285235
737,000000000;48,208538663;3,715942346;2,189581608
738,000000000;48,262738243;3,665217821;2,167680225
739,000000000;48,317230227;3,616217817;2,145590035
740,000000000;48,372037018;3,568896884;2,123319065
741,000000000;48,427178816;3,523214480;2,100875899
742,000000000;48,482675332;3,479133161;2,078269042
743,000000000;48,538546577;3,436617824;2,055506638
744,000000000;48,594811560;3,395636610;2,032597039
745,000000000;48,651489632;3,356159746;2,009548293
746,000000000;48,708600119;3,318159778;1,986368325
747,000000000;48,766160692;3,281612506;1,963065631
748,000000000;48,824189939;3,246495170;1,939648253
749,000000000;48,882706909;3,212786787;1,916123997
750,000000000;48,941729614;3,180468974;1,892501058
751,000000000;49,001276837;3,149524840;1,868787311
752,000000000;49,061367177;3,119939515;1,844990719
753,000000000;49,122019000;3,091700116;1,821119367
754,000000000;49,183251537;3,064795216;1,797181043
755,000000000;49,245083717;3,039215401;1,773183725
756,000000000;49,307534550;3,014953065;1,749135435
757,000000000;49,370623851;2,992002152;1,725043981
758,000000000;49,434372217;2,970358246;1,700916991
759,000000000;49,498800065;2,950018948;1,676762295
760,000000000;49,563927349;2,930983930;1,652588038
761,000000000;49,629776482;2,913254126;1,628401609
762,000000000;49,696369711;2,896832640;1,604210646
763,000000000;49,763729531;2,881724638;1,580022897
764,000000000;49,831880409;2,867937068;1,555845619
